NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名
553,Related,林金泽
554,Related,林绍裘
555,Related,林汉
556,Focused,林路
557,Related,林竹轩
558,Related,李德立
559,Related,佘正裕
560,Related,谢庆振
561,Related,佘柏城
562,Related,肃亲王
563,Related,林可能
564,Related,林国安
565,Related,林癸荣
566,Related,林萃龙
567,Related,林月卿
568,Related,林炳汉
569,Related,林贤娘
570,Related,林三古
571,Related,朱月娘
572,Related,尤索夫•依萨
573,Related,刘正兴
574,Related,阮碧霞
575,Related,陈秋槎
576,Related,林炳源
577,Related,张春莲
578,Related,张来喜
579,Related,胡汉民
580,Related,汪精卫
581,Related,李烈钧
582,Related,林忠民
583,Related,林忠宪
584,Related,阮氏
585,Related,林积玉
586,Related,林琼玉
587,Related,林素玉
588,Related,林美玉
589,Related,林绿玉
590,Related,林雪玉
591,Related,林英权
592,Related,林英士
593,Related,林雨岩
594,Related,萧贤舞
595,Related,蓝梦全
596,Related,梭罗副王
597,Related,王义元
598,Related,方琴媛
599,Related,欧阳壎
600,Related,宏船
601,Related,吴良标
602,Related,刘毓霖
603,Related,邱国珍
604,Related,邱正潮
605,Related,邱得松
606,Related,谢龙门
607,Related,瑞于
608,Related,刘瑜
609,Related,李声余
610,Related,陈德才
611,Related,邵逸夫
612,Related,刘长意
613,Related,佘应仁
614,Related,佘应佐
615,Related,佘应恭
616,Related,威廉•巴特卫
617,Related,曾亚六
618,Related,杨春娘
619,Related,宋长溪
620,Related,宋顺源
621,Related,宋荣宗
622,Related,理雅各
623,Related,基斯柏理
624,Related,陈光为
625,Related,陈文进
626,Related,符愈贵
627,Related,冯芳莲
628,Related,陈文芳
629,Related,陈文元
630,Related,宋旺武
631,Related,爱谨
632,Related,许春风
633,Related,马绍尔
634,Related,许春裕
635,Related,张舜琴
636,Related,杨喜娘
637,Related,麦比士
638,Related,龚振荣
639,Related,阮添筹
640,Related,林成乾
641,Related,邱武艺
642,Related,李庆纪
643,Related,何乐如
644,Related,陈树南
645,Related,郑聘廷
646,Related,刘坤意
647,Related,薛中华
648,Related,陈庆云
649,Related,谢林娘
650,Related,谢佛德
651,Related,王竞惠
652,Related,王庆云
653,Related,王沧周
654,Related,陈桂兰
655,Related,邱百禄
656,Related,邱培丕顺
657,Related,王先树
658,Related,王先德
659,Related,王长顺
660,Related,王顺智
661,Related,王坤殿
662,Related,林英茂
663,Related,王绍善
664,Related,王绍贤
665,Related,伍玉玲
666,Related,王会仪
667,Related,吴士基
668,Related,慈禧太后
669,Related,曾兆南
670,Related,徐敦青
671,Related,朱善锦
672,Related,蔡心义
673,Related,萧守福
674,Related,萧才发
675,Related,萧守仁
676,Related,萧月清
677,Related,陈恩裕
678,Related,萧月明
679,Related,林坤德
680,Related,萧友仁
681,Related,萧月卿
682,Related,谢宝荣
683,Related,薛兆熊
684,Related,郭枚生
685,Related,许济侯
686,Related,苏妈英
687,Related,何衍品
688,Related,许吉成
689,Related,谢荔圃
690,Related,谢启山
691,Related,郑荣华
692,Related,徐钦三
693,Related,徐炎泉
694,Related,刘景香
695,Related,姚楠
696,Related,胡博渊
697,Related,王彩凤
698,Related,薛和娘
699,Related,陈荫娘
700,Related,薛瑞娘
701,Related,翁如水
702,Related,薛有文
703,Related,薛中衍
704,Related,薛明记
705,Related,薛佛世
706,Related,薛荣茂
707,Related,薛神庇
708,Related,薛坤元
709,Related,薛德元
710,Related,陈水源
711,Related,陈太源
712,Related,陈淡娘
713,Related,陈曲娘
714,Related,黄宗成
715,Related,曾德璋
716,Related,薛长泉
717,Related,薛天林
718,Related,陈水鲤
719,Related,何衍炳
720,Related,林春木
721,Related,洪高兴
